BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleComment
SAMN08161671		PRJNA421720	SRS2750512	Yp3299		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Badreci	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161670		PRJNA421720	SRS2750515	Yp3298		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Cajueiro 3	Pulex		NA		KEEP: EAGER Modern
SAMN08161668		PRJNA421720	SRS2750588	Yp3296		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Coqueiro	Polygenis		NA		KEEP: EAGER Modern
SAMN08161667		PRJNA421720	SRS2750586	Yp3292		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Ambrosio	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161666		PRJNA421720	SRS2750603	Yp3291		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Barrinha	Thrichomys		NA		KEEP: EAGER Modern
SAMN08161665		PRJNA421720	SRS2750592	Yp3290		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Barrinha	Thrichomys		NA		KEEP: EAGER Modern
SAMN08161664		PRJNA421720	SRS2750593	Yp3287		1968	Brazil:Pernambuco,Salgueiro,Sao Jose do Belmonte,Sitio Mata Redonda	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161663		PRJNA421720	SRS2750600	Yp3286		1968	Brazil:Pernambuco,Salgueiro,Sao Jose do Belmonte,Sitio Terra Nova	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161662		PRJNA421720	SRS2750594	Yp3285		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Caraiba do Avelino	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161661		PRJNA421720	SRS2750589	Yp3278		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Serra da Farinha	Polygenis		NA		KEEP: EAGER Modern
SAMN08161660		PRJNA421720	SRS2750590	Yp3277		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Serra da Farinha	Polygenis		NA		KEEP: EAGER Modern
SAMN08161659		PRJNA421720	SRS2750613	Yp3276		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Mamonas	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161658		PRJNA421720	SRS2750698	Yp3274		1968	Brazil:Pernambuco,Salgueiro,Sao Jose do Belmonte,Sitio Baixa Verde	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161657		PRJNA421720	SRS2750697	Yp3272		1968	Brazil:Pernambuco,Araripina,Araripina,Sitio Aperto	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161655		PRJNA421720	SRS2750688	Yp3247		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Polygenis		NA		KEEP: EAGER Modern
SAMN08161652		PRJNA421720	SRS2750699	Yp3234		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Polygenis		NA		KEEP: EAGER Modern
SAMN08161651		PRJNA421720	SRS2750701	Yp3233		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente	Xenopsylla		NA		KEEP: EAGER Modern
SAMN08161650		PRJNA421720	SRS2750695	Yp3232		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Barra Nova	Polygenis		NA		KEEP: EAGER Modern
SAMN08161647		PRJNA421720	SRS2750353	Yp3229		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Xenopsylla		NA		KEEP: EAGER Modern
SAMN08161646		PRJNA421720	SRS2750355	Yp3228		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Polygenis		NA		KEEP: EAGER Modern
SAMN08161644		PRJNA421720	SRS2750361	Yp3224		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente	Rattus rattus frugivorus		NA		KEEP: EAGER Modern
SAMN08161642		PRJNA421720	SRS2750357	Yp3221		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alto	Polygenis		NA		KEEP: EAGER Modern
SAMN08161638		PRJNA421720	SRS2750623	Yp3202		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Xenopsylla		NA		KEEP: EAGER Modern
SAMN08161637		PRJNA421720	SRS2750655	Yp3201		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Polygenis		NA		KEEP: EAGER Modern
SAMN08161634		PRJNA421720	SRS2750636	Yp3193		1967	Brazil:Pernambuco,Araripina,Exu,Cidade	Rattus rattus alexandrinus		NA		KEEP: EAGER Modern
SAMN08161632		PRJNA421720	SRS2750630	Yp3191		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alto	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161630		PRJNA421720	SRS2750629	Yp3186		1966	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Santa Clara	Homo sapiens		NA		KEEP: EAGER Modern
SAMN09397111			SRS3938234	IP2666pIB1		01-Jan-2018	USA: Santa Cruz					REMOVE: Not Yersinia pestis
SAMN10340333				9760		1975	Russia: Rostov-on-Don	Homo sapiens		47.23448 N 39.71557 E		REMOVE: Not Yersinia pestis
SAMN09464368			SRS3557498	4802		2017	Viet Nam					REMOVE: Not Yersinia pestis
SAMN09464366			SRS3557495	4811R		Apr-2018	Viet Nam					REMOVE: Not Yersinia pestis
SAMN09464365			SRS3557499	4802R		Apr-2018	Viet Nam					REMOVE: Not Yersinia pestis
SAMN09464363			SRS3557496	4811		2017	Viet Nam					REMOVE: Not Yersinia pestis
SAMN09111775				10213D		1994-10-18	Russia: Dagestan	Homo sapiens		43.60 N 46.96 E		REMOVE: Not Yersinia pestis
SAMN09464367				PT02		2018	Viet Nam	Homo sapiens				REMOVE: Not Yersinia pestis
SAMN09464364				1701		2017	Viet Nam	Homo sapiens				REMOVE: Not Yersinia pestis
SAMN07176226		PRJNA269675	SRS2247689	SCPM-O-B-7331	Medievalis	2001	missing	missing				KEEP: EAGER Modern
SAMN07176225		PRJNA269675	SRS2247688	SCPM-O-B-7307	Medievalis	1984	missing	missing				KEEP: EAGER Modern
SAMN07176224		PRJNA269675	SRS2247672	SCPM-O-B-6530	Medievalis	2000						KEEP: Assembly Modern
SAMN07176223		PRJNA269675	SRS2247670	SCPM-O-B-7298	Medievalis	1973	missing	missing				KEEP: EAGER Modern
SAMN07176222		PRJNA269675	SRS2247666	SCPM-O-B-7289	Medievalis	1974	missing	missing				KEEP: EAGER Modern
SAMN05521439		PRJNA269675	SRS1608362	SCPM-O-DNA-14		1983						KEEP: Assembly Modern
SAMN05521438		PRJNA269675	SRS1608361	SCPM-O-DNA-13		1971						KEEP: Assembly Modern
SAMN05521437		PRJNA269675	SRS1608360	SCPM-O-DNA-12	Xilingolensis	1982						KEEP: Assembly Modern
SAMN05521436		PRJNA269675	SRS1608358	SCPM-O-DNA-11	Xilingolensis	1984						KEEP: Assembly Modern
SAMN05521435		PRJNA269675	SRS1608350	SCPM-O-DNA-10	Altaica	1977						KEEP: Assembly Modern
SAMN05521434		PRJNA269675	SRS1608349	SCPM-O-DNA-09	Altaica	2007						KEEP: Assembly Modern
SAMN05521433		PRJNA269675	SRS1608346	SCPM-O-DNA-08	Altaica	2007						KEEP: Assembly Modern
SAMN05521432		PRJNA269675	SRS1608345	SCPM-O-DNA-07	Altaica	2007						KEEP: Assembly Modern
SAMN05521431		PRJNA269675	SRS1608344	SCPM-O-DNA-06	Altaica	2007						KEEP: Assembly Modern
SAMN05521430		PRJNA269675	SRS1608342	SCPM-O-DNA-05	Altaica	2007						KEEP: Assembly Modern
SAMN05521429		PRJNA269675	SRS1608341	SCPM-O-DNA-04	Altaica	2001						KEEP: Assembly Modern
SAMN05521428		PRJNA269675	SRS1608334	SCPM-O-DNA-03	Altaica	2001						KEEP: Assembly Modern
SAMN05521427		PRJNA269675	SRS1608333	SCPM-O-DNA-02	Altaica	2001						KEEP: Assembly Modern
SAMN05521426		PRJNA269675	SRS1608331	SCPM-O-DNA-01	Altaica	2001						KEEP: Assembly Modern
SAMN05521425		PRJNA269675	SRS1608330	SCPM-O-B-4664	Talassica	1980						KEEP: Assembly Modern
SAMN05521424		PRJNA269675	SRS1608329	SCPM-O-B-6983	Caucasica	1969						KEEP: Assembly Modern
SAMN05521423		PRJNA269675	SRS1608327	SCPM-O-B-6992	Caucasica	1995						KEEP: Assembly Modern
SAMN05521422		PRJNA269675	SRS1608323	SCPM-O-B-7040	Caucasica	1988						KEEP: Assembly Modern
SAMN05521421		PRJNA269675	SRS1608322	SCPM-O-B-6176	Caucasica	1984						KEEP: Assembly Modern
SAMN05521420		PRJNA269675	SRS1608317	SCPM-O-B-7037	Caucasica	1978						KEEP: Assembly Modern
SAMN04993042		PRJNA269675	SRS1439505	SCPM-O-B-7042	Caucasica	1996		Microtus				KEEP: Assembly Modern
SAMN04992976		PRJNA269675	SRS1439497	SCPM-O-B-7469	Altaica	1990	missing					KEEP: EAGER Modern
SAMN04992974		PRJNA269675	SRS1439496	SCPM-O-B-6994	Caucasica	1998		Microtus				KEEP: Assembly Modern
SAMN04992971		PRJNA269675	SRS1439494	SCPM-O-B-7005	Caucasica	2010		Microtus				KEEP: Assembly Modern
SAMN04992968		PRJNA269675	SRS1434957	SCPM-O-B-7111	Caucasica	1997						KEEP: Assembly Modern
SAMN03893400		PRJNA269675	SRS1013406	SCPM-O-B-6906	Ulegeica	1974	Mongolia:Bayan-Olgii	Microtus				KEEP: Assembly Modern
SAMN03861513		PRJNA269675	SRS1009238	SCPM-O-B-6540	Caucasica	1989	Azerbaijan:Goranboy District:Karabakh	Microtus				KEEP: Assembly Modern
SAMN03861512		PRJNA269675	SRS1009219	SCPM-O-B-6536	Caucasica	1976	Armenia:Shirak Province	Microtus				KEEP: Assembly Modern
SAMN03861510		PRJNA269675	SRS1087697	SCPM-O-B-6213	Ulegeica	1972	Mongolia:Bayan-Olgii	Microtus				KEEP: Assembly Modern
SAMN03861503		PRJNA269675	SRS1009212	SCPM-O-B-6300	Caucasica	1971	Azerbaijan:Goranboy District:Karabakh	Microtus				KEEP: Assembly Modern
SAMN03861500		PRJNA269675	SRS1009207	SCPM-O-B-7832	Caucasica	1978	Azerbaijan:Goranboy District:Karabakh	Microtus				KEEP: Assembly Modern
SAMN03861486		PRJNA269675	SRS1009206	SCPM-O-B-7075	Altaica	1961	Russia:Altai Republic	Microtus				KEEP: Assembly Modern
SAMN03861484		PRJNA269675	SRS1009205	SCPM-O-B-6984	Caucasica	1969	Azerbaijan:Goranboy District:Karabakh	Microtus				KEEP: Assembly Modern
SAMN03861482		PRJNA269675	SRS1009202	SCPM-O-B-6974	Caucasica	1967	Azerbaijan:Goranboy District:Karabakh	Microtus				KEEP: Assembly Modern
SAMN03861481		PRJNA269675	SRS1009201	SCPM-O-B-7019	Talassica	1980	Kyrgyzstan:Talas Region	Microtus				KEEP: Assembly Modern
SAMN03839881		PRJNA269675	SRS985906	SCPM-O-B-7812	Altaica	2002	Russia:Altai Republic	Microtus				KEEP: Assembly Modern
SAMN03839880		PRJNA269675	SRS985909	SCPM-O-B-6990	Caucasica	1971	Armenia:Shirak Province	Microtus				KEEP: Assembly Modern
SAMN03839879		PRJNA269675	SRS985911	SCPM-O-B-7074	Talassica	1980	Kyrgyzstan:Talas Region	Microtus				KEEP: Assembly Modern
SAMN03839878		PRJNA269675	SRS985914	SCPM-O-B-6304	Hissarica	1979	Tajikistan:Sughd Province	Microtus				KEEP: Assembly Modern
SAMN03839877		PRJNA269675	SRS985915	SCPM-O-B-6216	Xilingolensis	1984	Mongolia:Bayankhongor	Microtus				KEEP: Assembly Modern
SAMN03839876		PRJNA269675	SRS985916	SCPM-O-B-7761	Caucasica	1983	Armenia:Shirak Province	Microtus				KEEP: Assembly Modern
SAMN03839871		PRJNA269675	SRS985899	SCPM-O-B-6904	Caucasica	1984	Russia:Republic of Dagestan	Microtus				KEEP: Assembly Modern
SAMN03839870		PRJNA269675	SRS985586	SCPM-O-B-6706	Ulegeica	1986	Mongolia:Omnogovi	Microtus				KEEP: Assembly Modern
SAMN03262632		PRJNA269675	SRS801142	SCPM-O-B-7283	Medievalis	1971	missing	missing				KEEP: EAGER Modern
SAMN03262629		PRJNA269675	SRS815120	SCPM-O-B-6986	Caucasica	1969	missing	missing				KEEP: EAGER Modern
SAMN03256462		PRJNA269675	SRS798746	SCPM-O-B-7761	Caucasica	1983	missing	missing				KEEP: EAGER Modern
SAMN03256461		PRJNA269675	SRS798636	SCPM-O-B-7005	Caucasica	2010	missing	missing				KEEP: EAGER Modern
SAMN03256459		PRJNA269675	SRS798185	SCPM-O-B-6906	Ulegeica	1974	Mongolia:Bayan-Olgii	Microtus				KEEP: Assembly Modern
SAMN03256423		PRJNA269675	SRS788711	SCPM-O-B-6706	Ulegeica	1986	Mongolia:Omnogovi	Microtus				KEEP: Assembly Modern
SAMN09245989				8600		2013-10-27	missing	Homo sapiens		42.85 N 41.67 E		REMOVE: Not Yersinia pestis
SAMN08866751				I-2422	Ulegeica	1974	Mongolia:Bayan-Olgii	Amphalius runatus		missing		KEEP: Assembly Modern
SAMN08625969			SRS3009352	SCPM-O-DNA-17		1973						KEEP: Assembly Modern
SAMN08625968			SRS3009351	SCPM-O-DNA-16		1974						KEEP: Assembly Modern
SAMN08625967			SRS3009354	SCPM-O-DNA-15		1972						KEEP: Assembly Modern
SAMN08625966		PRJNA269675	SRS3009353	SCPM-O-B-6218		1986						KEEP: Assembly Modern
SAMN08625965		PRJNA269675	SRS3009356	SCPM-O-B-6212		1972						KEEP: Assembly Modern
SAMN08625964		PRJNA269675	SRS3009355	SCPM-O-B-6301		1972						KEEP: Assembly Modern
SAMN09111788				16241D		1994	Russia: Dagestan	Homo sapiens		42.30 N 47.04 E		REMOVE: Not Yersinia pestis
SAMN09104983				1270D		1994-08-20	Russia: Dagestan	Homo sapiens		42.98 N 47.50 E		REMOVE: Not Yersinia pestis
SAMN09104938				169D		1993-07-15	Russia: Dagestan	Homo sapiens		42.98 N 47.30 E		REMOVE: Not Yersinia pestis
SAMN09104650				41D		1998-10-17	Russia: Dagestan	Homo sapiens		43.35 N 46.64 E		REMOVE: Not Yersinia pestis
SAMN04992982		PRJNA269675	SRS1439502	SCPM-O-B-5938	Hissarica	1970	missing					KEEP: EAGER Modern
SAMN03861483		PRJNA269675	SRS1009204	SCPM-O-B-6757	Caucasica	1968	Azerbaijan:Goranboy District:Karabakh	Microtus				KEEP: Assembly Modern
SAMN08999467				Ogawa 18963	El Tor	2007	Russia: Rostov-on-Don	missing		47.205825 N 39.697406 E		REMOVE: Not Yersinia pestis
SAMN08892357				139	Medievalis	1966	Kazakhstan: Focus 29	Rhombomis opinus		None		REMOVE: Low coverage (60%) and annotated as fragmented Assembly Modern
SAMN08866745				5M	Antiqua	1952	Kyrgyzstan:Issyk-Kul Region:Focus 32	Oropsylla silantiewi		missing		KEEP: Assembly Modern
SAMN08866640				262	Antiqua	1967	Kyrgyzstan:Issyk-Kul Region:Focus 32	Marmota baibacina		missing		KEEP: Assembly Modern
SAMN08999468				9507		1974	Russia: Rostov-on-Don	Homo sapiens		47.205825 N 39.697406 E		REMOVE: Not Yersinia pestis
SAMN05225380				44	Medievalis	1966	Azerbaijan:Goranboy District	Nosopsyllus laeviceps		missing		KEEP: Assembly Modern
SAMN05225371				1454	Antiqua	2012	Russia:Altai Republic:Kosh-Agachsky Rayon	Urocitellus undulatus		missing		KEEP: Assembly Modern
SAMN05219216				I-3086	Microtus	1983	Mongolia:Bayankhongor	Lasiopodomys brandtii		missing		KEEP: Assembly Modern
SAMN08741635				3178		2017	Russia: Elista			46.3077800 N 44.2558300 E		REMOVE: Not Yersinia pestis
SAMN08741634				2843		2016	Russia: Elista			46.3077800 N 44.2558300 E		REMOVE: Not Yersinia pestis
SAMN08741633				8		2014	Russia: Elista			46.3077800 N 44.2558300 E		REMOVE: Not Yersinia pestis
SAMN08741629				M1332		2000	Russia: Chelyabinsk	Homo sapiens		55.1540200 N 55.1540200 E		REMOVE: Not Yersinia pestis
SAMN08741628				124		2015	Russia: Elista			46.3077800 N 44.2558300 E		REMOVE: Not Yersinia pestis
SAMN08741626				2688		2015	Russia: Elista			46.3077800 N 44.2558300 E		REMOVE: Not Yersinia pestis
SAMN08741624				2687		2015	Russia: Elista			46.3077800 N 44.2558300 E		REMOVE: Not Yersinia pestis
SAMN08741622				2613		2015	Russia: Elista	Homo sapiens		46.3077800 N 44.2558300 E		REMOVE: Not Yersinia pestis
SAMN08741621				M1425		2003	Russia: Perm	Homo sapiens		58.0104600 N 56.2501700 E		REMOVE: Not Yersinia pestis
SAMN08734606				186		2011	Ukraine: Mariupol	Homo sapiens		47.0951400 N 37.5413100 E		REMOVE: Not Yersinia pestis
SAMN08731626				20-a_11		1995	Ukraine: Mykolaiv Oblast	Homo sapiens		47.43 N 31.8 E		REMOVE: Not Yersinia pestis
SAMN08721838				2044		1966	Iraq: Bagdad	Homo sapiens		33.29380355 N 44.385452 E		REMOVE: Not Yersinia pestis
SAMN08634710				1393G		1979	Georgia:Samtskhe-Javakheti:Ninotsminda	Microtus arvalis		missing		KEEP: Assembly Modern
SAMN08395532				5879		1972	Russia: Taganrog	Homo sapiens		47.238848 N 38.882676 E		REMOVE: Not Yersinia pestis
SAMN06075482		PRJNA355374		I-136		1959	Russia	Homo sapiens		53.045833 N 90.941389 E		REMOVE: Not Yersinia pestis
SAMN07722810		PRJNA412669	SRS2558754	UC91309		2009	United States of America:Illinois:Chicago	Homo sapiens		unknown		KEEP: Assembly Modern
SAMN05731707		PRJNA341721	SRS1672582	Yp3045		2009	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731706		PRJNA341721	SRS1672580	Yp3044		2009	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731705		PRJNA341721	SRS1672579	Yp3023		2008	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731704		PRJNA341721	SRS1672578	Yp3083		2012	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731703		PRJNA341721	SRS1672577	Yp3059		2011	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731702		PRJNA341721	SRS1672576	Yp3050		2010	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731701		PRJNA341721	SRS1672575	Yp2991		2007	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731700		PRJNA341721	SRS1672574	Yp2872		2004	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731699		PRJNA341721	SRS1672573	Yp3079		2012	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731698		PRJNA341721	SRS1672572	Yp3034		2008	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731697		PRJNA341721	SRS1672571	Yp3014		2007	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731696		PRJNA341721	SRS1672569	Yp2947		2006	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731695		PRJNA341721	SRS1672567	Yp2988		2007	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731694		PRJNA341721	SRS1672566	Yp3041		2009	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731693		PRJNA341721	SRS1672568	Yp2983		2007	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731692		PRJNA341721	SRS1672565	Yp2871		2004	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731691		PRJNA341721	SRS1672563	Yp3048		2009	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731690		PRJNA341721	SRS1672564	Yp3069		2011	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731689		PRJNA341721	SRS1672562	Yp3010		2007	Madagascar	Siphonaptera		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731688		PRJNA341721	SRS1672561	Yp2905		2004	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731687		PRJNA341721	SRS1672559	Yp2856		2003	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731686		PRJNA341721	SRS1672588	Yp3017		2007	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731685		PRJNA341721	SRS1672587	Yp3019		2008	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731684		PRJNA341721	SRS1672586	Yp3043		2009	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731683		PRJNA341721	SRS1672585	Yp2963		2006	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731682		PRJNA341721	SRS1672584	Yp3078		2011	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731681		PRJNA341721	SRS1672583	Yp3042		2009	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731680		PRJNA341721	SRS1672581	Yp3016		2007	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731679		PRJNA341721	SRS1672570	Yp3026		2008	Madagascar	Homo sapiens		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731678		PRJNA341721	SRS1672560	Yp2979		2006	Madagascar	Rattus rattus		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN05731677		PRJNA341721	SRS1672558	Yp3009		2007	Madagascar	Siphonaptera		18.46 S 46.52 E		KEEP: EAGER Modern
SAMN07510740				I-308		1986	Russia	Homo sapiens		51.7 N 94.3667 E		REMOVE: Not Yersinia pestis
SAMN07510738				I-370		2010	Russia	Homo sapiens		51.7 N 94.3667 E		REMOVE: Not Yersinia pestis
SAMN07510723				I-340		1995	Russia	Homo sapiens		59.8833 N 91.6667 E		REMOVE: Not Yersinia pestis
SAMN07510711				I-194		1965	Russia	Homo sapiens		55.8833 N 104.6 E		REMOVE: Not Yersinia pestis
SAMN07498437				I-280		1983	Russia	Homo sapiens		52.6333 N 108.4 E		REMOVE: Not Yersinia pestis
SAMN07498373				I-160		1961	Russia	Ovis aries		51.7 N 94.3667 E		REMOVE: Not Yersinia pestis
SAMN07286087		PRJNA392236	SRS2320268			28-Feb-2017	not applicable	Homo sapiens		not applicable		REMOVE: Lab manipulation
SAMN07286086		PRJNA392236	SRS2320267			20-Feb-2017	not applicable	Homo sapiens		not applicable		REMOVE: Lab manipulation
SAMN05386328		PRJNA328937	SRS1560275	BALB/c								REMOVE: Lab manipulation
SAMN05386327		PRJNA328937	SRS1560274	BALB/c								REMOVE: Lab manipulation
SAMN05386326		PRJNA328937	SRS1560273	BALB/c								REMOVE: Lab manipulation
SAMN05386325		PRJNA328937	SRS1560272	BALB/c								REMOVE: Lab manipulation
SAMN05386324		PRJNA328937	SRS1560271	BALB/c								REMOVE: Lab manipulation
SAMN05386323		PRJNA328937	SRS1560270	BALB/c								REMOVE: Lab manipulation
SAMN05386322		PRJNA328937	SRS1560269	BALB/c								REMOVE: Lab manipulation
SAMN05386321		PRJNA328937	SRS1560267	BALB/c								REMOVE: Lab manipulation
SAMN05386320		PRJNA328937	SRS1560268	BALB/c								REMOVE: Lab manipulation
SAMN05386319		PRJNA328937	SRS1560266	BALB/c								REMOVE: Lab manipulation
SAMN05386318		PRJNA328937	SRS1560265	BALB/c								REMOVE: Lab manipulation
SAMN05386317		PRJNA328937	SRS1560264	BALB/c								REMOVE: Lab manipulation
SAMN05386316		PRJNA328937	SRS1560263	BALB/c								REMOVE: Lab manipulation
SAMN05386315		PRJNA328937	SRS1560262	BALB/c								REMOVE: Lab manipulation
SAMN05386314		PRJNA328937	SRS1560261	BALB/c								REMOVE: Lab manipulation
SAMN05386313		PRJNA328937	SRS1560258	BALB/c								REMOVE: Lab manipulation
SAMN05386312		PRJNA328937	SRS1560260	BALB/c								REMOVE: Lab manipulation
SAMN05386311		PRJNA328937	SRS1560259	BALB/c								REMOVE: Lab manipulation
SAMN07257404		PRJNA391106	SRS2297282	CO92								REMOVE: Lab manipulation
SAMN07257403		PRJNA391106	SRS2297283	CO92								REMOVE: Lab manipulation
SAMN07257402		PRJNA391106	SRS2297284	CO92								REMOVE: Lab manipulation
SAMN07257401		PRJNA391106	SRS2297287	CO92								REMOVE: Lab manipulation
SAMN07257400		PRJNA391106	SRS2297285	CO92								REMOVE: Lab manipulation
SAMN07257399		PRJNA391106	SRS2297288	CO92								REMOVE: Lab manipulation
SAMN07257398		PRJNA391106	SRS2297286	CO92								REMOVE: Lab manipulation
SAMN07192613				P-18778		2005	Russia: Rostov-on-Done	Homo sapiens		47.2313 N 39.7233 E		REMOVE: Not Yersinia pestis
SAMN07192612				P-18748		2004	Russia: Sochi	Homo sapiens		43.5992 N 39.7257 E		REMOVE: Not Yersinia pestis
SAMN06075487				I-338		1993	Russia	Homo sapiens		54.7097 N 76.5806 E		REMOVE: Not Yersinia pestis
SAMN06075483				I-216		1970	Russia	Homo sapiens		53.8 N 109.3333 E		REMOVE: Not Yersinia pestis
SAMN05823560				I-349		1999	Russia	Homo sapiens		51.7678 N 94.4824 E		REMOVE: Not Yersinia pestis
SAMN05823553				KIV-L		2014	Russia	Homo sapiens		43.1626 N 45.6194 E		REMOVE: Not Yersinia pestis
SAMN06854807		PRJNA384395	SRS2155362	CO92 (pCD1-), yyfB		2016	USA: Colorado	Homo sapiens				REMOVE: Lab manipulation
SAMN06854806		PRJNA384395	SRS2155359	CO92 (pCD1-), yyfA		2016	USA: Colorado	Homo sapiens				REMOVE: Lab manipulation
SAMN06854805		PRJNA384395	SRS2155360	CO92 (pCD1-)		2016	USA: Colorado	Homo sapiens				REMOVE: Lab manipulation
SAMN06854160		PRJNA384395	SRS2155361	CO92 (pCD1-), yyfB		2016	USA: Colorado	Homo sapiens				REMOVE: Lab manipulation
SAMN06854159		PRJNA384395	SRS2155363	CO92 (pCD1-), yyfA		2016	USA: Colorado	Homo sapiens				REMOVE: Lab manipulation
SAMN06854158		PRJNA384395	SRS2155364	CO92 (pCD1-)		2016	USA: Colorado	Homo sapiens				REMOVE: Lab manipulation
SAMN06711158				617		missing	Ukraine: Piatikhatskii district	Homo sapiens		48.4137 N 33.7028 E		REMOVE: Not Yersinia pestis
SAMN06806565				M1337		not collected	Russia: Astrakhan	Homo sapiens		46.3497 N 48.0408 E		REMOVE: Not Yersinia pestis
SAMN06806563				34Kayum		not collected	Afghanistan: Kabul	Homo sapiens		34.5281 N 69.1723 E		REMOVE: Not Yersinia pestis
SAMN06806560				M1509		not collected	Russia: Moscow	Homo sapiens		55.7522 N 37.6156 E		REMOVE: Not Yersinia pestis
SAMN06806559				M1344		not collected	Russia: Kazan	Homo sapiens		55.7887 N 49.1221 E		REMOVE: Not Yersinia pestis
SAMN06806481				M1030		not collected	Turkmenistan: Yoloten	Homo sapiens		37.2989 N 62.3597 E		REMOVE: Not Yersinia pestis
SAMN06806440				433		not collected	Russia: Sochi	missing		43.5992 N 39.7257 E		REMOVE: Not Yersinia pestis
SAMN06806439				2403		not collected	Ukraine: Odessa	Homo sapiens		46.4775 N 30.7326 E		REMOVE: Not Yersinia pestis
