BioSampleAccession	AssemblyFTPGenbank	SRARunAccession	BioSampleStrain	BioSampleCollectionDate	BioSampleHost	BioSampleGeographicLocation	BioSampleBiovar	PubmedArticleTitle	PubmedAuthorsLastName	AssemblyContigCount	AssemblyTotalLength	NucleotideGenes	NucleotideGenesTotal	NucleotidePseudoGenes	NucleotidePseudoGenesTotal	NucleotiderRNAs	AssemblySubmissionDate	SRARunPublishDate	BioSampleComment
SAMN03861484	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/065/GCA_001295065.1_ASM129506v1	SRR2124165;SRR2124167	SCPM-O-B-6984	03-Jul-1969	?	missing	Caucasica	?	?	231	4555511	4,251	?	307	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	?
SAMN03861482	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/185/GCA_001295185.1_ASM129518v1	SRR2124157;SRR2124156	SCPM-O-B-6974	08-Dec-1967	?	missing	Caucasica	?	?	270	4522840	4,255	?	256	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	?
SAMN03861481	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/975/GCA_001294975.1_ASM129497v1	SRR2124155;SRR2124154	SCPM-O-B-7019	28-Aug-1980	?	missing	Talassica	?	?	275	4626244	4,308	?	243	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	?
SAMN03839881	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/965/GCA_001294965.1_ASM129496v1	SRR2094311	SCPM-O-B-7812	21-Sep-2002	?	missing	Altaica	?	?	223	4575487	4,261	?	239	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
SAMN03839880	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/045/GCA_001295045.1_ASM129504v1	SRR2094306	SCPM-O-B-6990	04-Aug-1971	?	missing	Caucasica	?	?	180	4561770	4,245	?	216	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
SAMN03839879	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/145/GCA_001295145.1_ASM129514v1	SRR2094300	SCPM-O-B-7074	06-Sep-1980	?	missing	Talassica	?	?	207	4565589	4,237	?	192	?	3, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
SAMN03839878	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/885/GCA_001294885.1_ASM129488v1	SRR2094296	SCPM-O-B-6304	13-Sep-1979	?	missing	Hissarica	?	?	209	4531080	4,169	?	248	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
SAMN03839877	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/805/GCA_001294805.1_ASM129480v1	SRR2094295	SCPM-O-B-6216	20-May-1984	?	missing	Xilingolensis	?	?	230	4587862	4,255	?	257	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
SAMN03839876	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/815/GCA_001294815.1_ASM129481v1	SRR2094294	SCPM-O-B-7761	22-Oct-1983	?	missing	Caucasica	?	?	207	4560303	4,249	?	165	?	2, 1, 2 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
SAMN03839871	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/825/GCA_001294825.1_ASM129482v1	SRR2094286;SRR2094287	SCPM-O-B-6904	13-Jun-1984	?	missing	Caucasica	?	?	190	4510568	4,203	?	214	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	?
SAMN03839870	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/835/GCA_001294835.1_ASM129483v1	SRR2093957	SCPM-O-B-6706	24-Mar-1986	?	missing	Ulegeica	?	?	189	4636832	4,281	?	234	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	?
SAMN03256459	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/950/935/GCA_000950935.1_ASM95093v1	SRR1726089	SCPM-O-B-6906	27-Jun-1974	missing	missing	Ulegeica	?	?	477	4523215	4,306	?	240	?	4 (5S, 16S, 23S)	2015/03/11 00:00	2014-12-20 00:00:00	?
SAMN03256423	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/950/945/GCA_000950945.1_ASM95094v1	SRR1725541	SCPM-O-B-6706	24-Mar-1986	missing	missing	Ulegeica	?	?	326	4624800	4,328	?	178	?	4 (5S, 16S, 23S)	2015/03/11 00:00	2014-12-20 00:00:00	?
SAMN08866751	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/122/795/GCA_003122795.1_Y.pestis_I-2422	?	I-2422	1974	Amphalius runatus	Mongolia: Bayan-Ulegei aimak	?	?	?	2868	5558037	?	7,023	?	1,570	2, 3, 6 (5S, 16S, 23S)	2018/05/14 00:00	?	?
SAMN08625969	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/995/GCA_002981995.1_ASM298199v1	SRR6794315	SCPM-O-DNA-17	1973	missing	missing	?	?	?	180	4679672	?	4,535	?	188	8, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:55:12	?
SAMN08625968	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/975/GCA_002981975.1_ASM298197v1	SRR6794316	SCPM-O-DNA-16	1974	missing	missing	?	?	?	180	4686426	?	4,539	?	188	7, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:55:12	?
SAMN08625967	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/925/GCA_002981925.1_ASM298192v1	SRR6794313	SCPM-O-DNA-15	1972	missing	missing	?	?	?	169	4621120	?	4,494	?	167	8, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:56:12	?
SAMN08625966	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/915/GCA_002981915.1_ASM298191v1	SRR6794314	SCPM-O-B-6218	24-Mar-1986	missing	missing	?	?	?	180	4680847	?	4,502	?	189	8, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:56:12	?
SAMN08625965	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/955/GCA_002981955.1_ASM298195v1	SRR6794311	SCPM-O-B-6212	22-Aug-1972	missing	missing	?	?	?	167	4616215	?	4,420	?	169	8, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:55:12	?
SAMN08625964	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/895/GCA_002981895.1_ASM298189v1	SRR6794312	SCPM-O-B-6301	16-Jun-1972	missing	missing	?	?	?	175	4578646	?	4,368	?	189	8, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:55:12	?
SAMN03861483	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/105/GCA_001295105.1_ASM129510v1	SRR2124163;SRR2124162	SCPM-O-B-6557	12-Sep-1968	?	missing	Caucasica	?	?	228	4554747	4,253	?	223	?	2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	?
SAMN08866745	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/535/GCA_003074535.1_ASM307453v1	?	5M	1952	Oropsylla silantiewi	Kyrgyzstan	?	?	?	240	4531579	?	4,362	?	233	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN08866640	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/595/GCA_003074595.1_ASM307459v1	?	262	1967	Marmota baibacina	Kyrgyzstan	?	?	?	249	4532410	?	4,363	?	208	2, 1, 2 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05225380	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/335/GCA_003074335.1_ASM307433v1	?	44	1966-12-08	Nosopsyllus laeviceps	Azerbaijan	?	?	?	237	4576107	?	4,221	?	204	1, 1 (16S, 23S)	2018/04/30 00:00	?	?
SAMN05225371	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/255/GCA_003074255.1_ASM307425v1	?	1454	2012-06-06	Urocitellus undulatus	Russia: Republic of Altai, Kosh-Agach District	?	?	?	306	4637608	?	4,354	?	698	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05219216	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/175/GCA_003074175.1_ASM307417v1	?	I-3086	1983-05-23	Lasiopodomys brandtii	Mongolia	?	?	?	502	4623780	?	4,381	?	607	2, 1, 3 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN08634710	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/993/145/GCA_002993145.1_ASM299314v1	?	1393G	1980-03-06	Microtus arvalis	Russia	?	?	?	215	4563137	?	4,384	?	257	2, 1, 1 (5S, 16S, 23S)	2018/03/10 00:00	?	?
SAMN07722810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/529/545/GCA_002529545.1_ASM252954v1	SRR6121994	UC91309	unknown	Homo sapiens	unknown	?	?	?	215	4517470	?	4,418	?	190	8, 3, 1 (5S, 16S, 23S)	2017/10/11 00:00	2018-10-01 00:07:39	?
SAMN06161235	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/285/GCA_002005285.1_ASM200528v1	SRR5137562;SRR5117441	195/P	2015-12-08	?	not collected	?	?	?	4	4831198	?	?	?	?	?	2017/02/21 00:00	2017-01-07 15:07:26;2016-12-24 11:56:26	?
SAMN05240958	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/435/GCA_003074435.1_ASM307443v1	?	KM874	1984-08-14	Microtus arvalis	Armenia: Syunik Region	?	?	?	228	4552969	?	4,230	?	295	1, 1 (16S, 23S)	2018/04/30 00:00	?	?
SAMN05225437	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/415/GCA_003074415.1_ASM307441v1	?	3551	1979-10-10	Ctenophthalmus teres	Armenia	?	?	?	225	4563176	?	4,235	?	212	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05225434	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/395/GCA_003074395.1_ASM307439v1	?	3544	1979-10-05	Microtus arvalis	Armenia	?	?	?	248	4559091	?	4,230	?	209	2, 2 (16S, 23S)	2018/04/30 00:00	?	?
SAMN05225432	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/375/GCA_003074375.1_ASM307437v1	?	261	1955-08-19	Meriones libycus erythrourus	missing	?	?	?	249	4579841	?	4,221	?	187	1, 1 (16S, 23S)	2018/04/30 00:00	?	?
SAMN05225431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/355/GCA_003074355.1_ASM307435v1	?	1240	1967-01-13	Meriones libycus erythrourus	Azerbaijan	?	?	?	321	4582524	?	4,263	?	244	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05225379	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/315/GCA_003074315.1_ASM307431v1	?	I-3223	1987-07-22	Citellophilus tesquorum	Russia: Republic of Tuva, Ovyursky District	?	?	?	563	4681103	?	4,496	?	566	2, 2, 2 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05225376	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/295/GCA_003074295.1_ASM307429v1	?	244	1967-08-25	Homo sapiens	Kazakhstan: Kyzyl-Orda Region, Aralsk District	?	?	?	445	4595054	?	4,338	?	507	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05225373	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/275/GCA_003074275.1_ASM307427v1	?	C-627	1986-08-28	Coleophora tesquorum	Russia: Kabardino-Balkar Republic, Zolsky District	?	?	?	676	4476360	?	4,411	?	1,897	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05225370	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/235/GCA_003074235.1_ASM307423v1	?	I-3244	1988-07-05	Ochotona dauurica	Mongolia: Bayan-Ulgy Aimak	?	?	?	356	4534110	?	4,300	?	1,393	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05219223	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/215/GCA_003074215.1_ASM307421v1	?	349	2015-06-08	Oropsylla silantiewi	Russia: Republic of Altai, Kosh-Agach District	?	?	?	253	4655319	?	4,303	?	220	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05219221	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/195/GCA_003074195.1_ASM307419v1	?	337	2015-06-08	?	Russia: Republic of Altai, Kosh-Agach District	?	?	?	309	4648693	?	4,315	?	246	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05219204	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/155/GCA_003074155.1_ASM307415v1	?	338	2015-06-12	?	Russia: Republic of Altai, Kosh-Agach District	?	?	?	299	4652440	?	4,319	?	263	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00	?	?
SAMN05162893	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/995/GCA_003085995.1_ASM308599v1	?	1906	2014-04-12	Meriones meridianus	Russia: Republic of Kalmykiya, Laganskiy district	?	?	?	301	4573713	?	4,260	?	349	2, 1, 1 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN05162891	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/412/255/GCA_002412255.1_Y.pestis_A-1836	?	A-1836	1983-03-20	Marmota baibacina	Kyrgyzstan: Issyk-Kul\'skaya region	?	?	?	300	4613199	?	4,358	?	3,208	2, 1, 1 (5S, 16S, 23S)	2017/10/03 00:00	?	?
SAMN05162583	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/015/GCA_003086015.1_ASM308601v1	?	M-1944	2012-08-21	Marmota sibirica	Russia: Republic of Tyva, Mongun-Tayginskiy district	?	?	?	628	4582641	?	4,457	?	554	2, 1, 3 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN05162581	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/935/GCA_003085935.1_ASM308593v1	?	835	1958-11-23	Homo sapiens	Armenia: Lariyskaya region	?	?	?	222	4556565	?	4,216	?	242	1, 1 (16S, 23S)	2018/05/02 00:00	?	?
SAMN05162580	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/975/GCA_003085975.1_ASM308597v1	?	1530	2014-09-18	?	Russia: Republic of Altai, Kosh-Agach District	?	?	?	447	4529233	?	4,316	?	600	2, 2, 1 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN05162559	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/055/GCA_003086055.1_ASM308605v1	?	595	2014-03-20	Mus musculus	Russia: Astrakhan Region, Limanskiy District	?	?	?	269	4584858	?	4,244	?	268	1, 1 (16S, 23S)	2018/05/02 00:00	?	?
SAMN05150105	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/955/GCA_003085955.1_ASM308595v1	?	1313	2014-09-20	Paradoxopsyllus scorodumovi	Russia: Republic of Altai	?	?	?	235	4598307	?	4,225	?	827	1, 1 (16S, 23S)	2018/05/02 00:00	?	?
SAMN05150068	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/895/GCA_003085895.1_ASM308589v1	?	I-2998	1982-08-27	Ochotona pallasi	Russia: Republic of Altai, Kosh-Agach District	?	?	?	356	4585836	?	4,296	?	538	2, 1, 2 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN05150065	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/412/245/GCA_002412245.1_Y.pestis_A-1691	?	A-1691	1971-07-20	?	Kyrgyzstan	?	?	?	399	4615196	?	4,352	?	1,010	2, 1, 2 (5S, 16S, 23S)	2017/10/03 00:00	?	?
SAMN05149973	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/412/225/GCA_002412225.1_Y.pestis_A-1486	?	A-1486	1966-11-25	Marmota caudata	Kyrgyzstan: Oshskaya Region, Alayskiy District	?	?	?	499	4564774	?	4,391	?	1,041	2, 2, 2 (5S, 16S, 23S)	2017/10/03 00:00	?	?
SAMN05149970	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/875/GCA_003085875.1_ASM308587v1	?	M-986	1975-07-15	Homo sapiens	Armenia: Syunikskaya Region	?	?	?	260	4540567	?	4,240	?	354	2, 1, 1 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN05149969	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/412/235/GCA_002412235.1_Y.pestis_A-1249	?	A-1249	1970-04-18	Neodon juldaschi carruthersi	Tajikistan: Sogdiyskaya Region	?	?	?	321	4573487	?	4,283	?	926	2, 2, 2 (5S, 16S, 23S)	2017/10/03 00:00	?	?
SAMN05017795	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/915/GCA_003085915.1_ASM308591v1	?	517	2014-09-21	Homo sapiens	Russia: Republic of Altai, Mukhor-Tarkhata village	?	?	?	225	4656448	?	4,329	?	949	1, 5 (16S, 23S)	2018/05/02 00:00	?	?
SAMN05017696	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/412/305/GCA_002412305.1_Y.pestis_A-1809	?	A-1809	1980-08-28	Pectinoctenus nemorosus	Kyrgyzstan: Range of Tien Shan Mountain System, Karagaily Area	?	?	?	422	4564961	?	4,364	?	2,915	2, 3, 1 (5S, 16S, 23S)	2017/10/03 00:00	?	?
SAMN05017693	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/095/GCA_003086095.1_ASM308609v1	?	M-1524	1993-05-09	Rhombomys opimus	Kazakhstan: Chimkent Region, Suzak District, Zhuantobe Townsite	?	?	?	488	4616738	?	4,357	?	638	2, 1, 1 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN05017652	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/115/GCA_003086115.1_ASM308611v1	?	A-1920	1988-07-08	Rhombomys opimus	Kazakhstan: Almaty Region, Balkhash District, Bakanas Townsite	?	?	?	422	4555877	?	4,294	?	3,189	2, 1, 1 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN05017610	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/075/GCA_003086075.1_ASM308607v1	?	A-1825	1983-03-16	Rhombomys opimus	Uzbekistan	?	?	?	707	4535418	?	4,336	?	3,123	2, 1, 1 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN05017606	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/035/GCA_003086035.1_ASM308603v1	?	2751-55	2012-09-23	Ochotona pallasi	Russia: Republic of Altai, Kosh-Agach District, Tashanta Village	?	?	?	278	4582594	?	4,259	?	818	2, 1, 1 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN05282282	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/595/GCA_001693595.1_ASM169359v1	?	Cadman	06-Jun-2016	Homo sapiens	USA: Gallup, NM	?	?	?	4	4778555	?	?	?	?	?	2016/07/26 00:00	?	?
SAMN05017702	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/085/855/GCA_003085855.1_ASM308585v1	?	M-1773	2002-05-17	Meriones meridianus	Russia: Astrakhan Region, Krasnoyarsk District	?	?	?	284	4566266	?	4,235	?	285	2, 1, 2 (5S, 16S, 23S)	2018/05/02 00:00	?	?
SAMN03256395	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/835/005/GCA_000835005.1_ASM83500v1	SRR3225867;SRR3225866	Nairobi	1985	?	Kenya: Nairobi	A	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	2	4572683	?	?	?	?	?	2015/02/09 00:00	2019-02-07 13:54:10;2017-10-09 01:44:15	?
SAMN03202985	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/985/GCA_000834985.1_ASM83498v1	SRR3225968;SRR3225966	Pestoides G	Unknown	?	USSR	?	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	3	4738142	?	?	?	?	?	2015/02/09 00:00	2019-02-07 13:54:10;2017-10-09 01:44:15	?
SAMN03418619	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/005/GCA_000987005.3_YPES002-SEQ-1-ASM-1;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/005/GCA_000987005.2_YPES002-SEQ-1-ASM-1;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/005/GCA_000987005.1_YPES002-SEQ-1-ASM-1	SRR1925721	125 B plague Bombay	Missing	Missing	India: Mumbai	?	?	?	113;117;117	4499457;4498212;4498212	4,280	?	198	?	11 (5S, 16S, 23S)	2016/04/19 00:00;2015/05/01 00:00;2015/05/01 00:00	2015-04-13 11:30:38	?
SAMN04331740	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/559/935/GCA_001559935.1_ASM155993v1	?	KM918	1989	Ctenophthalmus orientalis	Russia: Kabardino-Balkaria, Gizhgit Natural Boundary	?	?	?	402	4552595	4,289	?	2,063	?	2, 1, 1 (5S, 16S, 23S)	2016/02/11 00:00	?	?
SAMN04012736	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/855/GCA_001509855.1_ASM150985v1	?	Yp2126	2011	?	USA: Arizona	?	?	?	19	4817654	?	?	?	?	?	2016/01/10 00:00	?	?
SAMN04012733	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/865/GCA_001509865.1_ASM150986v1	?	Yp1945	2009	?	USA: Texas	?	?	?	12	4825865	?	?	?	?	?	2016/01/10 00:00	?	?
SAMN04376922	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/815/GCA_001617815.1_Yersinia_pestis_M-1453	?	M-1453	1991	Rhombomys opimus	Kazakhstan: Guryev region, Makhambet district	?	?	?	316	4476549	4,191	?	368	?	2, 1, 1 (5S, 16S, 23S)	2016/04/08 00:00	?	?
SAMN04376919	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/805/GCA_001617805.1_Yersinia_pestis_173	?	173	1978	Rhombomys opimus	missing	?	?	?	316	4569957	4,273	?	244	?	2, 3, 1 (5S, 16S, 23S)	2016/04/08 00:00	?	?
SAMN04376917	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/785/GCA_001617785.1_Yersinia_pestis_M-549	?	M-549	1977	Rhombomys opimus	Turkmenistan: Krasnovodsk Region	?	?	?	290	4505675	4,206	?	217	?	1, 1 (16S, 23S)	2016/04/08 00:00	?	?
SAMN04376048	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/715/GCA_001617715.1_Yersinia_pestis_M-519	?	M-519	1967	Rhombomys opimus	Turkmenistan: Kizyl-Atrek Region	?	?	?	255	4574099	4,225	?	236	?	2, 1, 1 (5S, 16S, 23S)	2016/04/08 00:00	?	?
SAMN04376042	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/735/GCA_001617735.1_Yersinia_pestis_M-1763	?	M-1763	2002	Nosopsyllus laeviceps	Russia: Astrakhan region, Krasnoyarsk District	?	?	?	316	4562327	4,248	?	330	?	2, 1, 1 (5S, 16S, 23S)	2016/04/08 00:00	?	?
SAMN04364500	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/613/895/GCA_001613895.1_ASM161389v1	?	KM-816	1990	Rhombomys opimus	Turkmenistan: Balkany	?	?	?	246	4575724	4,221	?	201	?	1, 1 (16S, 23S)	2016/04/07 00:00	?	?
SAMN04364306	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/613/885/GCA_001613885.1_ASM161388v1	?	M-978	1990	Spermophilus pygmaeus	Russia: Republic of Kalmykia, Ketchenerovsky District	?	?	?	435	4589918	4,317	?	521	?	2, 2, 3 (5S, 16S, 23S)	2016/04/07 00:00	?	?
SAMN04364301	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/613/865/GCA_001613865.1_ASM161386v1	?	1116-D	1971	Spermophilus pygmaeus	Russia: Republic Ingushetia, Malgobek district	?	?	?	388	4470393	4,282	?	3,243	?	2, 1, 2 (5S, 16S, 23S)	2016/04/07 00:00	?	?
SAMN04357319	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/601/285/GCA_001601285.1_ASM160128v1	?	I1996	1980	?	Russia: Zabaicalskiy krai	?	?	?	285	4605196	4,268	?	692	?	2, 1, 2 (5S, 16S, 23S)	2016/03/28 00:00	?	?
SAMN04337145	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/601/735/GCA_001601735.1_ASM160173v1	?	A-1815	1980	Callopsylla caspia	Kyrgyzstan: Talas district	?	?	?	402	4618238	4,377	?	2,971	?	2, 1, 2 (5S, 16S, 23S)	2016/03/29 00:00	?	?
SAMN04336076	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/601/675/GCA_001601675.1_ASM160167v1	?	C741	1999	Megabothris turbidus	Russia: Dagestan, Kulinsky district	?	?	?	370	4485310	4,315	?	3,065	?	2, 1, 1 (5S, 16S, 23S)	2016/03/29 00:00	?	?
SAMN04329024	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/585/GCA_001595585.1_ASM159558v1	?	M-1864	2009	Meriones meridianus	Russia: Kalmykia, Lagansky District	?	?	?	292	4569596	4,242	?	455	?	2, 2, 2 (5S, 16S, 23S)	2016/03/21 00:00	?	?
SAMN02923783	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/754/785/GCA_000754785.1_YAU	SRR2180228;SRR2180227	Colorado 92	unknown	?	unknown	?	?	?	59	4719680	?	?	?	?	?	2014/09/16 00:00	2015-08-30 00:14:45;2015-08-30 00:14:46	?
