BioSampleAccession	AssemblyFTPGenbank	SRARunAccession	BioSampleStrain	BioSampleCollectionDate	BioSampleHost	BioSampleGeographicLocation	BioSampleBiovar	PubmedArticleTitle	PubmedAuthorsLastName	AssemblyContigCount	AssemblyTotalLength	NucleotideGenes	NucleotideGenesTotal	NucleotidePseudoGenes	NucleotidePseudoGenesTotal	NucleotiderRNAs	AssemblySubmissionDate	SRARunPublishDate	BioSampleComment
SAMN09464368	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/268/115/GCA_003268115.1_ASM326811v1		4802	Oct-2017		Viet Nam				149	7152164		7,518		443	1, 1, 1 (5S, 16S, 23S)	2018/06/26 00:00		
SAMN09464366	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/268/095/GCA_003268095.1_ASM326809v1		4811R	Apr-2018		Viet Nam				117	7170845		7,519		450	1, 1, 1 (5S, 16S, 23S)	2018/06/26 00:00		
SAMN09464365	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/268/175/GCA_003268175.1_ASM326817v1		4802R	Apr-2018		Viet Nam				176	7148907		7,569		437	1, 1 (5S, 16S)	2018/06/26 00:00		
SAMN09464363	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/268/075/GCA_003268075.1_ASM326807v1		4811	Oct-2017		Viet Nam				129	7172172		7,514		437	1, 1, 1 (5S, 16S, 23S)	2018/06/26 00:00		
SAMN09111775	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/327/445/GCA_003327445.1_ASM332744v1		10213D	1994-10-18	Homo sapiens	Russia: Dagestan				147	4020493						2018/07/18 00:00		
SAMN09464367	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/268/125/GCA_003268125.1_ASM326812v1		PT02	Feb-2018	Homo sapiens	Viet Nam				74	8439210		7,857		320	1, 3, 3 (5S, 16S, 23S)	2018/06/26 00:00		
SAMN09464364	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/268/105/GCA_003268105.1_ASM326810v1		1701	Mar-2017	Homo sapiens	Viet Nam				141	7160202		7,518		446	1, 1, 1 (5S, 16S, 23S)	2018/06/26 00:00		
SAMN07176226		SRR5641464	SCPM-O-B-7331	07-Jul-2001	missing	missing	Medievalis											2018-06-02 00:12:01	
SAMN07176225		SRR5641463	SCPM-O-B-7307	03-Aug-1984	missing	missing	Medievalis											2018-06-02 00:12:01	
SAMN07176224	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/295/985/GCA_009295985.1_ASM929598v1	SRR10259782;SRR5641454	SCPM-O-B-6530	27-Jul-2000	missing	missing	Medievalis			5	4783760						2019/10/24 00:00	2019-10-12 04:42:38;2018-06-02 00:12:01	
SAMN07176223		SRR5641436	SCPM-O-B-7298	31-Jul-1973	missing	missing	Medievalis											2018-06-02 00:12:01	
SAMN07176222		SRR5641429	SCPM-O-B-7289	18-Apr-1974	missing	missing	Medievalis											2018-06-02 00:12:01	
SAMN05521439	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/835/GCA_002188835.1_ASM218883v1	SRR4017229	SCPM-O-DNA-14	28-May-1983	missing	missing				185	4667715		4,550		132	7, 3, 6 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	
SAMN05521438	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/855/GCA_002188855.1_ASM218885v1	SRR4017228	SCPM-O-DNA-13	14-Sep-1971	missing	missing				197	4590539		4,492		112	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	
SAMN05521437	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/845/GCA_002188845.1_ASM218884v1	SRR4017227	SCPM-O-DNA-12	02-Jun-1982	missing	missing	Xilingolensis			180	4642684		4,521		138	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	
SAMN05521436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/815/GCA_002188815.1_ASM218881v1	SRR4017224	SCPM-O-DNA-11	19-May-1984	missing	missing	Xilingolensis			195	4643289		4,526		140	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	
SAMN05521435	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/755/GCA_002188755.1_ASM218875v1	SRR4017222	SCPM-O-DNA-10	Jun-1977	missing	missing	Altaica			184	4637667		4,464		134	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	
SAMN05521434	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/775/GCA_002188775.1_ASM218877v1	SRR4017215	SCPM-O-DNA-09	15-Oct-2007	missing	missing	Altaica			179	4650126		4,475		136	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	
SAMN05521433	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/725/GCA_002188725.1_ASM218872v1	SRR4017214	SCPM-O-DNA-08	12-Oct-2007	missing	missing	Altaica			198	4652539		4,511		152	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	
SAMN05521432	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/765/GCA_002188765.1_ASM218876v1	SRR4017197	SCPM-O-DNA-07	06-Sep-2007	missing	missing	Altaica			182	4612130		4,469		142	8, 2, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	
SAMN05521431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/188/685/GCA_002188685.1_ASM218868v1	SRR4017195	SCPM-O-DNA-06	23-Sep-2007	missing	missing	Altaica			172	4647570		4,487		147	8, 3, 1 (5S, 16S, 23S)	2017/06/09 00:00	2017-08-10 00:00:56	
SAMN05521430	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/173/795/GCA_002173795.1_ASM217379v1	SRR4017193	SCPM-O-DNA-05	28-Apr-2007	missing	missing	Altaica			187	4650263		4,465		153	8, 3, 1 (5S, 16S, 23S)	2017/06/06 00:00	2017-08-10 00:00:56	
SAMN05521429	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/475/GCA_001972475.1_ASM197247v1	SRR4017192	SCPM-O-DNA-04	04-Oct-2001	missing	missing	Altaica			167	4646075		4,268		124	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-08-10 00:00:56	
SAMN05521428	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/173/805/GCA_002173805.1_ASM217380v1	SRR4017191	SCPM-O-DNA-03	04-Oct-2001	missing	missing	Altaica			211	4651412		4,477		157	8, 3, 1 (5S, 16S, 23S)	2017/06/06 00:00	2017-08-10 00:00:56	
SAMN05521427	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/515/GCA_001972515.1_ASM197251v1	SRR4017184	SCPM-O-DNA-02	05-Oct-2001	missing	missing	Altaica			167	4646108		4,255		111	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-08-10 00:00:55	
SAMN05521426	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/173/815/GCA_002173815.1_ASM217381v1	SRR4017182	SCPM-O-DNA-01	05-Oct-2001	missing	missing	Altaica			181	4641984		4,449		155	8, 3, 1 (5S, 16S, 23S)	2017/06/06 00:00	2017-08-10 00:00:55	
SAMN05521425	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/505/GCA_001972505.1_ASM197250v1	SRR4017181	SCPM-O-B-4664	06-Sep-1980	missing	missing	Talassica			190	4673139		4,304		144	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-08-10 00:00:55	
SAMN05521424	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/415/GCA_001972415.1_ASM197241v1	SRR4017180	SCPM-O-B-6983	16-Jun-1969	missing	missing	Caucasica			171	4610749		4,267		136	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-08-10 00:00:55	
SAMN05521423	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/405/GCA_001972405.1_ASM197240v1	SRR4017171	SCPM-O-B-6992	31-Jul-1995	missing	missing	Caucasica			166	4503787		4,164		153	8, 2, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-05-24 00:01:20	
SAMN05521422	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/385/GCA_001972385.1_ASM197238v1	SRR4017166	SCPM-O-B-7040	31-Jul-1988	missing	missing	Caucasica			186	4564996		4,244		145	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-05-24 00:01:20	
SAMN05521421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/395/GCA_001972395.1_ASM197239v1	SRR4017165	SCPM-O-B-6176	28-Aug-1984	missing	missing	Caucasica			176	4562336		4,234		127	8, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-05-24 00:01:20	
SAMN05521420	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/465/GCA_001972465.1_ASM197246v1	SRR4017164	SCPM-O-B-7037	12-Jun-1978	missing	missing	Caucasica			176	4558520		4,235		164	7, 3, 1 (5S, 16S, 23S)	2017/01/26 00:00	2017-05-24 00:01:20	
SAMN04993042	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/127/355/GCA_002127355.1_ASM212735v1	SRR3529526	SCPM-O-B-7042	10-Jun-1996		missing	Caucasica			182	4567750		4,456		166	8, 3, 1 (5S, 16S, 23S)	2017/05/10 00:00	2017-05-17 00:01:30	
SAMN04992976		SRR3529498	SCPM-O-B-7469	31-May-1990		missing	Altaica											2017-05-17 00:01:30	
SAMN04992974	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/127/375/GCA_002127375.1_ASM212737v1	SRR10259783;SRR3529496	SCPM-O-B-6994	08-Jun-1998		missing	Caucasica			188	4558616		4,451		166	8, 3, 1 (5S, 16S, 23S)	2017/05/10 00:00	2019-10-12 04:22:12;2017-05-17 00:01:30	
SAMN04992971	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/165/475/GCA_002165475.1_ASM216547v1	SRR3529493	SCPM-O-B-7005	25-Jun-2010		missing	Caucasica			190	4569487		4,466		167	8, 3, 1 (5S, 16S, 23S)	2017/05/10 00:00	2017-05-17 00:01:30	
SAMN04992968	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/127/365/GCA_002127365.1_ASM212736v1	SRR3501107	SCPM-O-B-7111	12-Jun-1997	missing	missing	Caucasica			191	4567036		4,466		166	8, 3, 1 (5S, 16S, 23S)	2017/05/10 00:00	2016-05-16 05:00:26	
SAMN03893400	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/895/GCA_001294895.1_ASM129489v1	SRR2124208;SRR2124209	SCPM-O-B-6906	27-Jun-1974		missing	Ulegeica			341	4520537	4,212		422		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	
SAMN03861513	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/055/GCA_001295055.1_ASM129505v1	SRR2124207	SCPM-O-B-6540	10-Feb-1989		missing	Caucasica			183	4559559	4,247		303		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03861512	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/915/GCA_001294915.1_ASM129491v1	SRR2124186	SCPM-O-B-6536	25-Oct-1976		missing	Caucasica			204	4560069	4,243		234		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03861510	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/025/GCA_001295025.1_ASM129502v1	SRR2511857	SCPM-O-B-6213	22-Aug-1972		missing	Ulegeica			189	4636905	4,288		228		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-25 00:00:00	
SAMN03861503	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/905/GCA_001294905.1_ASM129490v1	SRR2124185	SCPM-O-B-6300	19-Aug-1971		missing	Caucasica			202	4559661	4,250		278		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03861500	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/985/GCA_001294985.1_ASM129498v1	SRR2124170;SRR2124169	SCPM-O-B-7832	09-Nov-1978		missing	Caucasica			205	4557841	4,265		326		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	
SAMN03861486	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/115/GCA_001295115.1_ASM129511v1	SRR2124168	SCPM-O-B-7075	27-Jun-1961		missing	Altaica			229	4595298	4,263		260		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03861484	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/065/GCA_001295065.1_ASM129506v1	SRR2124167;SRR2124165	SCPM-O-B-6984	03-Jul-1969		missing	Caucasica			231	4555511	4,251		307		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	
SAMN03861482	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/185/GCA_001295185.1_ASM129518v1	SRR2124156;SRR2124157	SCPM-O-B-6974	08-Dec-1967		missing	Caucasica			270	4522840	4,255		256		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	
SAMN03861481	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/975/GCA_001294975.1_ASM129497v1	SRR2124154;SRR2124155	SCPM-O-B-7019	28-Aug-1980		missing	Talassica			275	4626244	4,308		243		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	
SAMN03839881	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/965/GCA_001294965.1_ASM129496v1	SRR2094311	SCPM-O-B-7812	21-Sep-2002		missing	Altaica			223	4575487	4,261		239		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03839880	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/045/GCA_001295045.1_ASM129504v1	SRR2094306	SCPM-O-B-6990	04-Aug-1971		missing	Caucasica			180	4561770	4,245		216		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03839879	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/145/GCA_001295145.1_ASM129514v1	SRR2094300	SCPM-O-B-7074	06-Sep-1980		missing	Talassica			207	4565589	4,237		192		3, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03839878	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/885/GCA_001294885.1_ASM129488v1	SRR2094296	SCPM-O-B-6304	13-Sep-1979		missing	Hissarica			209	4531080	4,169		248		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03839877	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/805/GCA_001294805.1_ASM129480v1	SRR2094295	SCPM-O-B-6216	20-May-1984		missing	Xilingolensis			230	4587862	4,255		257		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03839876	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/815/GCA_001294815.1_ASM129481v1	SRR2094294	SCPM-O-B-7761	22-Oct-1983		missing	Caucasica			207	4560303	4,249		165		2, 1, 2 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03839871	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/825/GCA_001294825.1_ASM129482v1	SRR2094287;SRR2094286	SCPM-O-B-6904	13-Jun-1984		missing	Caucasica			190	4510568	4,203		214		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	
SAMN03839870	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/835/GCA_001294835.1_ASM129483v1	SRR2093957	SCPM-O-B-6706	24-Mar-1986		missing	Ulegeica			189	4636832	4,281		234		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00	
SAMN03262632		SRR1732014;SRR1732017	SCPM-O-B-7283	09-Nov-1971	missing	missing	Medievalis											2014-12-23 00:00:00;2014-12-23 00:00:00	
SAMN03262629		SRR1726695	SCPM-O-B-6986	10-Nov-1969	missing	missing	Caucasica											2014-12-22 00:00:00	
SAMN03256462		SRR1732010;SRR1732012	SCPM-O-B-7761	22-Oct-1983	missing	missing	Caucasica											2014-12-23 00:00:00;2014-12-23 00:00:00	
SAMN03256461		SRR1726428;SRR1726454	SCPM-O-B-7005	26-Jun-2010	missing	missing	Caucasica											2014-12-20 00:00:00;2014-12-20 00:00:00	
SAMN03256459	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/950/935/GCA_000950935.1_ASM95093v1	SRR1726089	SCPM-O-B-6906	27-Jun-1974	missing	missing	Ulegeica			477	4523215	4,306		240		4 (5S, 16S, 23S)	2015/03/11 00:00	2014-12-20 00:00:00	
SAMN03256423	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/950/945/GCA_000950945.1_ASM95094v1	SRR1725541	SCPM-O-B-6706	24-Mar-1986	missing	missing	Ulegeica			326	4624800	4,328		178		4 (5S, 16S, 23S)	2015/03/11 00:00	2014-12-20 00:00:00	
SAMN09245989	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/176/775/GCA_003176775.1_ASM317677v1		8600	2013-10-27	Homo sapiens	missing				404	4473987		4,844		739	2, 1, 1 (5S, 16S, 23S)	2018/05/30 00:00		
SAMN08866751	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/122/795/GCA_003122795.1_Y.pestis_I-2422		I-2422	1974	Amphalius runatus	Mongolia: Bayan-Ulegei aimak				2868	5558037		7,023		1,570	2, 3, 6 (5S, 16S, 23S)	2018/05/14 00:00		
SAMN08625969	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/995/GCA_002981995.1_ASM298199v1	SRR6794315	SCPM-O-DNA-17	1973	missing	missing				180	4679672		4,535		188	8, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:55:12	
SAMN08625968	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/975/GCA_002981975.1_ASM298197v1	SRR6794316	SCPM-O-DNA-16	1974	missing	missing				180	4686426		4,539		188	7, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:55:12	
SAMN08625967	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/925/GCA_002981925.1_ASM298192v1	SRR6794313	SCPM-O-DNA-15	1972	missing	missing				169	4621120		4,494		167	8, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:56:12	
SAMN08625966	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/915/GCA_002981915.1_ASM298191v1	SRR6794314	SCPM-O-B-6218	24-Mar-1986	missing	missing				180	4680847		4,502		189	8, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:56:12	
SAMN08625965	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/955/GCA_002981955.1_ASM298195v1	SRR6794311	SCPM-O-B-6212	22-Aug-1972	missing	missing				167	4616215		4,420		169	8, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:55:12	
SAMN08625964	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/981/895/GCA_002981895.1_ASM298189v1	SRR6794312	SCPM-O-B-6301	16-Jun-1972	missing	missing				175	4578646		4,368		189	8, 3, 1 (5S, 16S, 23S)	2018/03/07 00:00	2018-03-01 06:55:12	
SAMN09111788	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/130/465/GCA_003130465.1_ASM313046v1		16241D	1994	Homo sapiens	Russia: Dagestan				141	4081404		3,861		616	2, 1, 1 (5S, 16S, 23S)	2018/05/16 00:00		
SAMN09104983	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/130/495/GCA_003130495.1_ASM313049v1		1270D	1994-08-20	Homo sapiens	Russia: Dagestan				133	4016316		3,794		539	2, 1, 1 (5S, 16S, 23S)	2018/05/16 00:00		
SAMN09104938	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/130/485/GCA_003130485.1_ASM313048v1		169D	1993-07-15	Homo sapiens	Russia: Dagestan				119	4102946		3,936		640	2, 1, 2 (5S, 16S, 23S)	2018/05/16 00:00		
SAMN09104650	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/130/475/GCA_003130475.1_ASM313047v1		41D	1998-10-17	Homo sapiens	Russia: Dagestan				140	4038688		3,862		633	2, 1, 1 (5S, 16S, 23S)	2018/05/16 00:00		
SAMN04992982		SRR3529522	SCPM-O-B-5938	18-Apr-1970		missing	Hissarica											2017-05-17 00:01:30	
SAMN03861483	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/295/105/GCA_001295105.1_ASM129510v1	SRR2124162;SRR2124163	SCPM-O-B-6557	12-Sep-1968		missing	Caucasica			228	4554747	4,253		223		2, 1, 1 (5S, 16S, 23S)	2015/09/21 00:00	2015-09-24 00:00:00;2015-09-24 00:00:00	
SAMN08999467	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/115/GCA_003096115.1_ASM309611v1		Ogawa 18963	2007	missing	Russia: Rostov-on-Don	El Tor			66	3966209		3,843		60	4, 4, 1 (5S, 16S, 23S)	2018/05/07 00:00		
SAMN08892357	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/675/GCA_003074675.1_ASM307467v1		139	1966	Rhombomis opinus	Kazakhstan				4816	3963071		6,553		2,274	1, 1 (16S, 23S)	2018/04/30 00:00		
SAMN08866745	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/535/GCA_003074535.1_ASM307453v1		5M	1952	Oropsylla silantiewi	Kyrgyzstan				240	4531579		4,362		233	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00		
SAMN08866640	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/595/GCA_003074595.1_ASM307459v1		262	1967	Marmota baibacina	Kyrgyzstan				249	4532410		4,363		208	2, 1, 2 (5S, 16S, 23S)	2018/04/30 00:00		
SAMN08999468	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/135/GCA_003096135.1_ASM309613v1		9507	1974	Homo sapiens	Russia: Rostov-on-Don				152	3997109		3,842		92	4, 6, 4 (5S, 16S, 23S)	2018/05/07 00:00		
SAMN05225380	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/335/GCA_003074335.1_ASM307433v1		44	1966-12-08	Nosopsyllus laeviceps	Azerbaijan				237	4576107		4,221		204	1, 1 (16S, 23S)	2018/04/30 00:00		
SAMN05225371	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/255/GCA_003074255.1_ASM307425v1		1454	2012-06-06	Urocitellus undulatus	Russia: Republic of Altai, Kosh-Agach District				306	4637608		4,354		698	2, 1, 1 (5S, 16S, 23S)	2018/04/30 00:00		
SAMN05219216	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/074/175/GCA_003074175.1_ASM307417v1		I-3086	1983-05-23	Lasiopodomys brandtii	Mongolia				502	4623780		4,381		607	2, 1, 3 (5S, 16S, 23S)	2018/04/30 00:00		
SAMN08741635			3178	2017		Russia: Elista													
SAMN08741634			2843	2016		Russia: Elista													
SAMN08741633			8	2014		Russia: Elista													
SAMN08741629			M1332	2000	Homo sapiens	Russia: Chelyabinsk													
SAMN08741628			124	2015		Russia: Elista													
SAMN08741626			2688	2015		Russia: Elista													
SAMN08741624			2687	2015		Russia: Elista													
SAMN08741622			2613	2015	Homo sapiens	Russia: Elista													
SAMN08741621			M1425	2003	Homo sapiens	Russia: Perm													
SAMN08734606			186	2011	Homo sapiens	Ukraine: Mariupol							3,847		78	2, 1, 1 (5S, 16S, 23S)			
SAMN08731626			20-a_11	1995	Homo sapiens	Ukraine: Mykolaiv Oblast													
SAMN08721838	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/013/485/GCA_003013485.1_ASM301348v1		2044	1966	Homo sapiens	Iraq: Bagdad				124	4045779		4,004		65	7, 11, 1 (5S, 16S, 23S)	2018/03/21 00:00		
SAMN08634710	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/993/145/GCA_002993145.1_ASM299314v1		1393G	1980-03-06	Microtus arvalis	Russia				215	4563137		4,384		257	2, 1, 1 (5S, 16S, 23S)	2018/03/10 00:00		
SAMN08395532	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/911/455/GCA_002911455.1_ASM291145v1		5879	1972	Homo sapiens	Russia: Taganrog				148	3982623		3,815		59	3, 1, 2 (5S, 16S, 23S)	2018/01/31 00:00		
SAMN06075482	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/631/235/GCA_002631235.1_ASM263123v1		I-136	1959	Homo sapiens	Russia				46	3285503		3,342		376	1, 1, 1 (5S, 16S, 23S)	2017/10/23 00:00		
SAMN07722810	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/529/545/GCA_002529545.1_ASM252954v1	SRR6121994	UC91309	unknown	Homo sapiens	unknown				215	4517470		4,418		190	8, 3, 1 (5S, 16S, 23S)	2017/10/11 00:00	2018-10-01 00:07:39	
SAMN05731707		SRR4175438	Yp3045	2009	Homo sapiens	Madagascar												2017-08-29 00:01:00	
SAMN05731706		SRR4175436	Yp3044	2009	Homo sapiens	Madagascar												2017-08-29 00:01:00	
SAMN05731705		SRR4175435	Yp3023	2008	Homo sapiens	Madagascar												2017-08-29 00:01:00	
SAMN05731704		SRR4175434	Yp3083	2012	Homo sapiens	Madagascar												2017-08-29 00:01:00	
SAMN05731703		SRR4175433	Yp3059	2011	Homo sapiens	Madagascar												2017-08-29 00:01:00	
SAMN05731702		SRR4175432	Yp3050	2010	Homo sapiens	Madagascar												2017-08-29 00:01:00	
SAMN05731701		SRR4175431	Yp2991	2007	Homo sapiens	Madagascar												2017-08-29 00:01:00	
SAMN05731700		SRR4175430	Yp2872	2004	Homo sapiens	Madagascar												2017-08-29 00:00:59	
SAMN05731699		SRR4175429	Yp3079	2012	Homo sapiens	Madagascar												2017-08-29 00:00:59	
SAMN05731698		SRR4175428	Yp3034	2008	Homo sapiens	Madagascar												2017-08-29 00:00:59	
SAMN05731697		SRR4175427	Yp3014	2007	Homo sapiens	Madagascar												2017-08-29 00:00:59	
SAMN05731696		SRR4175425	Yp2947	2006	Homo sapiens	Madagascar												2017-08-29 00:00:59	
SAMN05731695		SRR4175424	Yp2988	2007	Homo sapiens	Madagascar												2017-08-29 00:00:59	
SAMN05731694		SRR4175423	Yp3041	2009	Homo sapiens	Madagascar												2017-08-29 00:00:59	
